Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,NA,1,1,1,Inside,1,CollgCr,Norm,Norm,1,4,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,4,3,PConc,4,3,1,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,0,5,2003,2,2,548,3,3,3,0,61,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,NA,1,1,1,FR2,1,Veenker,Feedr,Norm,1,1,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,5,1976,2,2,460,3,3,3,298,0,0,0,0,0,0,0,NA,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,NA,2,1,1,Inside,1,CollgCr,Norm,Norm,1,4,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,4,3,PConc,4,3,2,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3,5,2001,2,2,608,3,3,3,0,42,0,0,0,0,0,0,NA,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,NA,2,1,1,Corner,1,Crawfor,Norm,Norm,1,4,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4,1,1998,1,3,642,3,3,3,0,35,272,0,0,0,0,0,NA,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,NA,2,1,1,FR2,1,NoRidge,Norm,Norm,1,4,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,4,3,PConc,4,3,3,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3,5,2000,2,3,836,3,3,3,192,84,0,0,0,0,0,0,NA,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,NA,2,1,1,Inside,1,Mitchel,Norm,Norm,1,2,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,Wood,4,3,1,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,0,5,1993,1,2,480,3,3,3,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,NA,1,1,1,Inside,1,Somerst,Norm,Norm,1,1,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,4,3,PConc,5,3,3,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4,5,2004,2,2,636,3,3,3,255,57,0,0,0,0,0,0,NA,0,8,2007,WD,Normal,307000
8,60,RL,NA,10382,Pave,NA,2,1,1,Corner,1,NWAmes,PosN,Norm,1,4,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3,5,1973,2,2,484,3,3,3,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,NA,1,1,1,Inside,1,OldTown,Artery,Norm,1,2,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3,1,1931,1,2,468,2,3,3,90,0,205,0,0,0,0,0,NA,0,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,NA,1,1,1,Corner,1,BrkSide,Artery,Artery,2,3,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3,5,1939,2,1,205,4,3,3,0,4,0,0,0,0,0,0,NA,0,1,2008,WD,Normal,118000
